Sri Lanka,Both sexes,76.87
Sri Lanka,Male,73.8
Sri Lanka,Female,79.81
Sudan,Both sexes,69.15
Sudan,Male,67.55
Sudan,Female,70.76
Suriname,Both sexes,71.48
Suriname,Male,68.5
Suriname,Female,74.63
Sweden,Both sexes,82.4
Sweden,Male,80.83
Sweden,Female,83.97
Switzerland,Both sexes,83.45
Switzerland,Male,81.75
Switzerland,Female,85.08
Syria,Both sexes,72.67
Syria,Male,71.18
Syria,Female,74.26
Tajikistan,Both sexes,69.5
Tajikistan,Male,67.58
Tajikistan,Female,71.55
Thailand,Both sexes,77.7
Thailand,Male,74.36
Thailand,Female,81.04
Timor-Leste,Both sexes,69.62
Timor-Leste,Male,67.93
Timor-Leste,Female,71.41
Togo,Both sexes,64.27
Togo,Male,61.52
Togo,Female,67.23
Tonga,Both sexes,72.57
Tonga,Male,69.81
Tonga,Female,75.61
Trinidad & Tobago,Both sexes,76.13
Trinidad & Tobago,Male,72.54
Trinidad & Tobago,Female,79.92
Tunisia,Both sexes,77.04
Tunisia,Male,74.88
Tunisia,Female,79.19
Turkey,Both sexes,78.62
Turkey,Male,76.44
Turkey,Female,80.67
Turkmenistan,Both sexes,69.75
Turkmenistan,Male,66.48
Turkmenistan,Female,72.97
Uganda,Both sexes,66.69
Uganda,Male,63.24
Uganda,Female,70.1
Ukraine,Both sexes,73.02
Ukraine,Male,68
Ukraine,Female,77.81
United Arab Emirates,Both sexes,76.08
United Arab Emirates,Male,75.1
United Arab Emirates,Female,78.42
United Kingdom,Both sexes,81.4
United Kingdom,Male,79.79
United Kingdom,Female,82.99
Tanzania,Both sexes,67.34
Tanzania,Male,65.37
Tanzania,Female,69.26
United States,Both sexes,78.5
United States,Male,76.28
United States,Female,80.73
Uruguay,Both sexes,77.1
Uruguay,Male,73.48
Uruguay,Female,80.56
Uzbekistan,Both sexes,73.01
Uzbekistan,Male,70.76
Uzbekistan,Female,75.21
Vanuatu,Both sexes,65.31
Vanuatu,Male,62.66
Vanuatu,Female,68.32
Venezuela,Both sexes,73.95
Venezuela,Male,69.91
Venezuela,Female,78.17
Vietnam,Both sexes,73.74
Vietnam,Male,69.56
Vietnam,Female,78.11
Yemen,Both sexes,66.63
Yemen,Male,64.41
Yemen,Female,68.92
Zambia,Both sexes,62.45
Zambia,Male,59.54
Zambia,Female,65.37
Zimbabwe,Both sexes,60.68
Zimbabwe,Male,57.51
Zimbabwe,Female,63.61
